29824;1450800633;1;36.7732;87.2035;200.208;3.49429;2;49.5327;74.4733;162.486;2.83591;
29825;1450800633;1;36.6779;87.2022;199.863;3.48827;2;49.0031;74.7529;167.048;2.91555;
29826;1450800634;1;36.5345;87.2477;199.984;3.49039;2;48.4264;74.9842;202.711;3.53797;
29827;1450800634;1;36.153;87.29;187.36;3.27004;2;47.8976;75.2161;202.466;3.5337;
29828;1450800634;1;35.6769;87.2834;171.205;2.9881;2;47.6568;75.3561;204.184;3.56368;
29829;1450800634;1;35.3455;87.1362;173.304;3.02473;2;47.1765;75.5409;204.737;3.57334;
29830;1450800634;1;35.013;87.0841;179.639;3.13529;2;46.504;75.8186;199.804;3.48723;
29831;1450800634;1;34.6805;87.032;181.743;3.17202;2;46.0717;76.0039;200.319;3.49622;
29832;1450800634;1;34.348;86.9799;182.415;3.18374;2;45.7355;76.1427;201.513;3.51706;
29833;1450800634;1;34.0626;86.976;182.869;3.19167;2;45.4961;76.1874;201.874;3.52336;
29834;1450800634;1;33.7771;86.972;184.835;3.22598;2;45.4;76.2339;202.182;3.52874;
29835;1450800634;1;33.4923;86.9206;188.158;3.28397;2;45.3039;76.2803;202.129;3.52782;
29836;1450800634;1;33.2545;86.9173;190.312;3.32157;2;45.2078;76.3268;202.681;3.53745;
29837;1450800634;1;33.0168;86.9141;188.639;3.29236;2;45.1123;76.3256;203.559;3.55277;
29838;1450800634;1;32.7314;86.9101;185.042;3.22959;2;45.064;76.3726;204.068;3.56166;
29839;1450800634;1;32.6363;86.9088;185.291;3.23393;2;45.064;76.3726;203.878;3.55834;
29840;1450800634;1;32.1603;86.9497;186.922;3.26241;2;45.0162;76.3721;204.021;3.56084;
29841;1450800634;1;31.5899;86.9419;175.661;3.06586;2;45.0162;76.3721;204.754;3.57364;
29842;1450800634;1;31.1152;86.8878;180.804;3.15563;2;44.9685;76.3715;204.287;3.56547;
29843;1450800634;1;30.6882;86.8345;185.437;3.23648;2;44.9685;76.3715;203.373;3.54953;
29844;1450800634;1;30.2606;86.8286;186.741;3.25925;2;44.9207;76.3709;203.163;3.54585;
29845;1450800634;1;29.8806;86.8233;187.178;3.26687;2;44.9207;76.3709;205.887;3.5934;
29846;1450800634;1;29.5;86.8656;188.689;3.29325;2;44.8246;76.4174;202.543;3.53504;
29847;1450800635;1;29.1675;86.861;191.132;3.33588;2;44.5847;76.5097;190.644;3.32736;
29848;1450800635;1;28.8826;86.8571;191.994;3.35092;2;44.1055;76.6467;202.626;3.53649;
29849;1450800635;1;28.5972;86.9006;189.521;3.30776;2;43.7219;76.7849;208.863;3.64534;
29850;1450800635;1;28.4547;86.8986;186.718;3.25884;2;43.5298;76.8777;208.933;3.64656;
29851;1450800635;1;28.0749;86.8934;182.881;3.19188;2;43.0973;77.1104;208.232;3.63433;
29852;1450800635;1;27.6003;86.8868;187.861;3.27879;2;42.5206;77.4364;215.273;3.75722;
29853;1450800635;1;27.3156;86.8829;187.997;3.28116;2;42.3286;77.5292;215.317;3.75798;
29854;1450800635;1;26.9828;86.9257;184.148;3.21398;2;42.04;77.7159;212.692;3.71218;
29855;1450800635;1;26.6032;86.9205;184.883;3.22682;2;41.752;77.8551;213.692;3.72963;
29856;1450800635;1;26.3186;86.9166;188.371;3.2877;2;41.4635;78.0418;220.062;3.84081;
29857;1450800635;1;25.8917;86.9107;177.167;3.09216;2;41.1744;78.276;214.676;3.74681;
29858;1450800635;1;25.3232;86.8554;176.866;3.0869;2;40.8376;78.5096;211.212;3.68635;
29859;1450800635;1;24.897;86.8021;182.26;3.18103;2;40.4055;78.7421;218.792;3.81865;
29860;1450800635;1;24.4703;86.7962;184.145;3.21393;2;40.0683;79.0232;214.301;3.74026;
29861;1450800635;1;24.0911;86.791;184.232;3.21545;2;39.684;79.2561;210.521;3.67429;
29862;1450800635;1;23.7119;86.7858;184.169;3.21435;2;39.2997;79.489;216.402;3.77693;
